"","Species","GrowthForm_CTD","Abund_CTD","family_molecules","family_morphology","larval","MeanPCcover","Growth_rate","Colony_fecundity","Colony_area","Polyps_per_area","Polyp_fecundity","Eggs_per_area","Colony_maximum_diameter","Corallite_width_minimum","Corallite_width_maximum"
"435","Leptastrea inaequalis","massive","uncommon","Fungiidae","Faviidae",NA,0.046,NA,NA,NA,NA,NA,NA,NA,1.8,4.1
"436","Leptastrea pruinosa","encrusting","common","Fungiidae","Faviidae",NA,0.063,NA,NA,NA,NA,NA,NA,NA,2,3.6
"437","Leptastrea purpurea","encrusting","common","Fungiidae","Faviidae","spawner",0.088,1.8,NA,NA,NA,NA,NA,100,1.8,10
"438","Leptastrea transversa","encrusting","common","Fungiidae","Faviidae",NA,0.108,NA,NA,NA,NA,NA,NA,NA,5.4,9.2
"439","Leptoria irregularis","encrusting","uncommon","Merulinidae","Faviidae",NA,0.01,NA,NA,NA,NA,NA,NA,150,3.5,6.3
"440","Leptoria phrygia","massive","common","Merulinidae","Faviidae","spawner",0.269,NA,NA,NA,NA,NA,NA,NA,2.6,3.5
"441","Leptoseris amitoriensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,3.7
"442","Leptoseris cailleti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,3.5
"443","Leptoseris cucullata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.9
"444","Leptoseris explanata","laminar","common","Agariciidae","Agariciidae","spawner",0.023,NA,NA,NA,NA,NA,NA,NA,2.4,4
"445","Leptoseris foliosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1.4
"446","Leptoseris gardineri","laminar","uncommon","Agariciidae","Agariciidae",NA,0.02,NA,NA,NA,NA,NA,NA,866.666666666667,1.4,2.5
"447","Leptoseris hawaiiensis","encrusting","uncommon","Agariciidae","Agariciidae",NA,0.043,NA,NA,NA,NA,NA,NA,NA,1.6,3.2
"448","Leptoseris incrustans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,4.4
"449","Leptoseris mycetoseroides","laminar","common","Agariciidae","Agariciidae",NA,0.03,NA,NA,NA,NA,NA,NA,133.333333333333,1.9,4.4
"450","Leptoseris papyracea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,4.4
"451","Leptoseris scabra","encrusting","uncommon","Agariciidae","Agariciidae",NA,0.021,NA,NA,NA,NA,NA,NA,NA,3.8,6.3
"452","Leptoseris solida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,3.8
"453","Leptoseris striata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,3.2,4
"454","Leptoseris tubulifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.5
"455","Leptoseris yabei","laminar","uncommon","Agariciidae","Agariciidae",NA,0.035,NA,NA,NA,NA,NA,NA,100,2.3,3.7
"456","Cycloseris mokai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.66666666666667,3.5,7.5
"457","Lithophyllon undulatum","encrusting","uncommon","Fungiidae","Fungiidae",NA,0.027,NA,NA,NA,NA,NA,NA,50,2.3,5.1
"458","Lobophyllia dentata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,14,32.6
"459","Lobophyllia diminuta","massive","uncommon","Lobophyllidae","Mussidae",NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,42.5
"460","Lobophyllia flabelliformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,28.9,59.5
"461","Lobophyllia hataii","massive","common","Lobophyllidae","Mussidae",NA,0.1,NA,NA,NA,NA,NA,NA,NA,25,30
"462","Lobophyllia hemprichii","massive","common","Lobophyllidae","Mussidae","spawner",0.174,NA,NA,NA,NA,NA,NA,500,16.5,26.8
"463","Lobophyllia pachysepta","massive","uncommon","Lobophyllidae","Mussidae","spawner",0.037,NA,NA,NA,NA,NA,NA,50,14.1,32.6
"464","Lobophyllia robusta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.5
"465","Lobophyllia serrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,16.9,40.2
"466","Madracis asanoi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.5
"467","Madracis asperula",NA,NA,NA,NA,NA,NA,16.22,NA,NA,NA,NA,NA,NA,1.2,2.1
"468","Madracis decactis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.9,2.2
"469","Madracis formosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.23,1.3,1.6
"470","Madracis kirbyi","digitate","uncommon","Pocilloporidae","Astrocoeniidae",NA,0.03,NA,NA,NA,NA,NA,NA,125,1.9,2.6
"471","Madracis mirabilis",NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,14.66,1.2,1.5
"472","Madracis pharensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,2.1
"473","Madracis senaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.8
"474","Manicina areolata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.675,8.8,15.1
"475","Meandrina braziliensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3
"476","Meandrina meandrites",NA,NA,NA,NA,NA,NA,1.15125,NA,NA,NA,NA,NA,16.3,12.8,13.5
"477","Merulina ampliata","laminar","common","Merulinidae","Merulinidae","spawner",0.138,1.8745,NA,NA,NA,NA,NA,NA,3.8,6.2
"478","Merulina scabricula","laminar","common","Merulinidae","Merulinidae",NA,0.278,NA,NA,NA,NA,NA,NA,NA,1.8,3.5
"479","Merulina scheeri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,4.2,8.2
"480","Micromussa amakusensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,11.5
"481","Micromussa diminuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,3.1,4
"482","Micromussa minuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,6.4
"483","Montigyra kenti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,32
"484","Montipora aequituberculata","laminar","common","Acroporidae","Acroporidae","spawner",0.173,NA,NA,NA,NA,NA,NA,NA,0.7,0.9
"485","Montipora altasepta","branching_open","uncommon","Acroporidae","Acroporidae","spawner",1.36,NA,NA,NA,NA,NA,NA,NA,0.6,0.8
"486","Montipora angulata","branching_closed","rare","Acroporidae","Acroporidae",NA,0.165,NA,NA,NA,NA,NA,NA,NA,1,1.3
"487","Montipora aspergillus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.8
"488","Montipora australiensis","columnar","rare","Acroporidae","Acroporidae",NA,0.257,NA,NA,NA,NA,NA,NA,NA,0.9,0.1
"489","Montipora cactus","encrusting_long_uprights","uncommon","Acroporidae","Acroporidae","spawner",1.81,NA,NA,NA,NA,NA,NA,NA,0.7,1.2
"490","Montipora calcarea","digitate","uncommon","Acroporidae","Acroporidae",NA,0.03,NA,NA,NA,NA,NA,NA,NA,0.7,0.9
"491","Montipora caliculata","massive","uncommon","Acroporidae","Acroporidae",NA,0.161,NA,NA,NA,NA,NA,NA,NA,0.7,1
"492","Montipora capitata","encrusting_long_uprights","uncommon","Acroporidae","Acroporidae","spawner",0.124,25.80875,NA,NA,158.5,NA,NA,NA,0.8,1
"493","Montipora capricornis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1
"494","Montipora cebuensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.8
"495","Montipora circumvallata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.6
"496","Montipora cocosensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1.4
"497","Montipora confusa","encrusting_long_uprights","uncommon","Acroporidae","Acroporidae",NA,0.204,NA,NA,NA,NA,NA,NA,100,0.6,0.7
"498","Montipora corbettensis","digitate","uncommon","Acroporidae","Acroporidae",NA,0.054,NA,NA,NA,NA,NA,NA,NA,0.6,0.8
"499","Montipora crassituberculata","laminar","uncommon","Acroporidae","Acroporidae","spawner",0.157,NA,NA,NA,NA,NA,NA,NA,1.2,1.5
"500","Montipora cryptus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.7
"501","Montipora danae","laminar","common","Acroporidae","Acroporidae","spawner",0.093,NA,NA,NA,NA,NA,NA,NA,0.9,1.4
"502","Montipora delicatula","laminar","uncommon","Acroporidae","Acroporidae",NA,0.584,NA,NA,NA,NA,NA,NA,NA,0.5,0.6
"503","Montipora digitata","branching_open","common","Acroporidae","Acroporidae","spawner",0.611,19.817,NA,NA,NA,NA,NA,NA,0.8,0.9
"504","Montipora dilatata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,0.7,1.2
"505","Montipora echinata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.8
"506","Montipora efflorescens","massive","uncommon","Acroporidae","Acroporidae","spawner",0.174,NA,NA,NA,NA,NA,NA,NA,0.6,1.2
"507","Montipora effusa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.8
"508","Montipora flabellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,0.2,0.2
"509","Montipora florida","laminar","uncommon","Acroporidae","Acroporidae",NA,0.211,NA,NA,NA,NA,NA,NA,NA,0.4,0.8
"510","Montipora floweri","submassive","uncommon","Acroporidae","Acroporidae",NA,0.137,NA,NA,NA,NA,NA,NA,NA,0.5,0.9
"511","Montipora foliosa","laminar","common","Acroporidae","Acroporidae","spawner",0.933,32.5,NA,NA,NA,NA,NA,NA,0.6,0.9
"512","Montipora foveolata","massive","uncommon","Acroporidae","Acroporidae","spawner",0.132,NA,NA,NA,NA,NA,NA,NA,2.1,2.9
"513","Montipora friabilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,1
"514","Montipora gaimardi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.8
"515","Montipora grisea","massive","common","Acroporidae","Acroporidae","spawner",0.668,NA,NA,NA,NA,NA,NA,NA,0.8,1.2
"516","Montipora hemispherica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,0.5,0.9
"517","Montipora hirsuta","branching_open","common","Acroporidae","Acroporidae",NA,0.168,NA,NA,NA,NA,NA,NA,NA,0.4,0.5
"518","Montipora hispida","encrusting_long_uprights","common","Acroporidae","Acroporidae","spawner",0.349,NA,NA,NA,NA,NA,NA,NA,0.9,1.4
"519","Montipora hodgsoni","laminar","uncommon","Acroporidae","Acroporidae",NA,0.241,NA,NA,NA,NA,NA,NA,NA,0.5,0.6
"520","Montipora hoffmeisteri","encrusting","common","Acroporidae","Acroporidae","spawner",0.151,NA,NA,NA,NA,NA,NA,NA,0.8,1.1
"521","Montipora incrassata","encrusting","uncommon","Acroporidae","Acroporidae",NA,0.017,NA,NA,NA,NA,NA,NA,NA,1,1.4
"522","Montipora informis","massive","common","Acroporidae","Acroporidae","spawner",0.45,NA,NA,NA,NA,NA,NA,NA,1.2,1.3
"523","Montipora kellyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.9
"524","Montipora lobulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,1.3
"525","Montipora mactanensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.9
"526","Montipora malampaya","digitate","uncommon","Acroporidae","Acroporidae","spawner",1.488,NA,NA,NA,NA,NA,NA,NA,0.6,0.7
"527","Montipora meandrina","encrusting","common","Acroporidae","Acroporidae",NA,0.025,NA,NA,NA,NA,NA,NA,20,0.7,0.9
"528","Montipora millepora","encrusting","common","Acroporidae","Acroporidae",NA,0.038,NA,NA,NA,NA,NA,NA,NA,4.5,8
"529","Montipora mollis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.9
"530","Montipora monasteriata","laminar","common","Acroporidae","Acroporidae","spawner",0.783,NA,NA,NA,NA,NA,NA,NA,0.7,1.1
"531","Montipora niugini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,0.6,0.7
"532","Montipora nodosa","massive","uncommon","Acroporidae","Acroporidae",NA,0.227,NA,NA,NA,NA,NA,NA,NA,0.8,1.3
"533","Montipora orientalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,1
"534","Montipora pachytuberculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6
"535","Montipora palawanensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,0.6,0.7
"536","Montipora patula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,0.5,0.7
"537","Montipora peltiformis","submassive","uncommon","Acroporidae","Acroporidae","spawner",0.334,NA,NA,NA,NA,NA,NA,NA,0.7,0.9
"538","Montipora porites",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.9
"539","Montipora samarensis","branching_open","uncommon","Acroporidae","Acroporidae","spawner",0.148,NA,NA,NA,NA,NA,NA,NA,0.5,0.7
"540","Montipora saudii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0.6,0.8
"541","Montipora setosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.8
"542","Montipora spongiosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.8
"543","Montipora spongodes","encrusting","common","Acroporidae","Acroporidae",NA,0.243,NA,NA,NA,NA,NA,NA,NA,0.9,1.2
"544","Montipora spumosa","encrusting","common","Acroporidae","Acroporidae","spawner",0.279,NA,NA,NA,NA,NA,NA,NA,0.7,0.9
"545","Montipora stellata","digitate","common","Acroporidae","Acroporidae","spawner",0.361,NA,NA,NA,NA,NA,NA,NA,0.6,0.9
"546","Montipora stilosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.8
"547","Montipora taiwanensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,0.5,0.9
"548","Montipora tuberculosa","massive","common","Acroporidae","Acroporidae","spawner",1.225,NA,NA,NA,NA,NA,NA,NA,0.6,1
"549","Montipora turgescens","massive","common","Acroporidae","Acroporidae","spawner",0.169,NA,NA,NA,NA,NA,NA,NA,0.8,1
"550","Montipora turtlensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.9
"551","Montipora undata","laminar","uncommon","Acroporidae","Acroporidae",NA,0.084,26,NA,NA,NA,NA,NA,NA,0.8,1.2
"552","Montipora venosa","massive","uncommon","Acroporidae","Acroporidae","spawner",0.15,NA,NA,NA,NA,NA,NA,NA,1.2,1.8
"553","Montipora verrilli",NA,NA,NA,NA,NA,NA,17.2,NA,NA,NA,NA,NA,NA,0.7,0.8
"554","Montipora verrucosa","laminar","uncommon","Acroporidae","Acroporidae","spawner",0.096,7.43192307692308,NA,NA,NA,NA,NA,NA,0.8,1.4
"555","Montipora verruculosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,0.7,0.8
"556","Montipora vietnamensis","digitate","uncommon","Acroporidae","Acroporidae",NA,0.256,NA,NA,NA,NA,NA,NA,NA,0.5,0.7
"557","Moseleya latistellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,56,73
"558","Mussa angulosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.285,NA,60
"559","Mussismilia braziliensis",NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,6.6,14.9
"560","Mussismilia harttii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,15.6,20
"561","Mussismilia hispida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,15.4,20.5
"562","Mycedium elephantotus","laminar","common","Merulinidae","Pectiniidae","spawner",0.121,NA,NA,NA,NA,NA,NA,300,7.5,10
"563","Mycedium mancaoi","laminar","uncommon","Merulinidae","Pectiniidae",NA,0.11,NA,NA,NA,NA,NA,NA,NA,3.8,7.2
"564","Mycedium robokaki","laminar","common","Merulinidae","Pectiniidae",NA,0.197,NA,NA,NA,NA,NA,NA,NA,3.8,7.2
"565","Mycedium steeni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1.6,3.1
"566","Mycedium umbra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,8.3,17
"567","Mycetophyllia aliciae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.62,15,20
"568","Mycetophyllia danaana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,13.8
"569","Mycetophyllia ferox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.12,7.7,11
"570","Mycetophyllia lamarckiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.14,11,18.5
"571","Mycetophyllia reesi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,10
"572","Nemenzophyllia turbida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,7.5,13
"573","Oculina diffusa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,5.7
"574","Oculina patagonica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,3.3
"575","Oculina valenciennesi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,2.7
"576","Oculina varicosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,3.1,4.1
"577","Oulastrea crispata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,5.6
"578","Oulophyllia bennettae","massive","uncommon","Merulinidae","Faviidae","spawner",0.1,NA,NA,NA,NA,NA,NA,NA,12.8,17.4
"579","Oulophyllia crispa","massive","uncommon","Merulinidae","Faviidae","spawner",0.102,21,NA,NA,NA,NA,NA,100,7,11.6
"580","Oulophyllia levis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,18.1
"581","Oxypora convoluta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,4.5,7.3
"582","Oxypora crassispinosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,8.8
"583","Oxypora egyptensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,10.4,11.3
"584","Oxypora glabra","laminar","common","Lobophyllidae","Pectiniidae","spawner",0.114,NA,NA,NA,NA,NA,NA,NA,5,7.5
"585","Oxypora lacera","laminar","common","Lobophyllidae","Pectiniidae","spawner",0.117,NA,NA,NA,NA,NA,NA,NA,6.1,8.8
"586","Pachyseris foliosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,6.3
"587","Pachyseris gemmae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,3.3
"588","Pachyseris involuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,4.1
"589","Pachyseris rugosa","laminar","common","Pachyseridae","Agariciidae","spawner",0.218,NA,NA,NA,NA,NA,NA,633.333333333333,2.2,4.8
"590","Pachyseris speciosa","laminar","common","Pachyseridae","Agariciidae","spawner",0.279,NA,NA,NA,NA,NA,NA,2,2.4,4.6
"591","Palauastrea ramosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1.2
"592","Merulina triangularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266.666666666667,7.5,8.8
"593","Blastomussa omanensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,7
"594","Pavona bipartita","submassive","uncommon","Agariciidae","Agariciidae",NA,0.513,NA,NA,NA,NA,NA,NA,100,1.9,3.1
"595","Pavona cactus","digitate","common","Agariciidae","Agariciidae","spawner",0.027,9.41166666666667,NA,NA,NA,NA,NA,1000,1,1.4
"596","Pavona clavus","columnar","common","Agariciidae","Agariciidae","spawner",0.072,14.2064516129032,NA,NA,NA,NA,NA,2000,1.7,3.4
"597","Pavona danai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.7
"598","Pavona decussata","digitate","common","Agariciidae","Agariciidae",NA,0.149,NA,NA,NA,NA,NA,NA,20,1.9,3.5
"599","Pavona diffluens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.6
"600","Pavona duerdeni",NA,NA,NA,NA,NA,NA,10.2,NA,NA,NA,NA,NA,NA,1.9,2.1
"601","Pavona explanulata","laminar","common","Agariciidae","Agariciidae",NA,0.09,NA,NA,NA,NA,NA,NA,NA,2.3,3
"602","Pavona frondifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,2.6
"603","Pavona gigantea",NA,NA,NA,NA,NA,NA,9.12117647058824,NA,NA,NA,NA,NA,NA,2.7,5.7
"604","Pavona maldivensis","columnar","common","Agariciidae","Agariciidae",NA,0.135,12.05,NA,NA,NA,NA,NA,30,2.9,4.1
"605","Pavona minuta","submassive","uncommon","Agariciidae","Agariciidae",NA,0.04,NA,NA,NA,NA,NA,NA,550,1.9,3.3
"606","Pavona varians","encrusting","common","Agariciidae","Agariciidae","spawner",0.246,3.8,NA,NA,NA,NA,NA,NA,4.7,9.3
"607","Pavona venosa","encrusting","common","Agariciidae","Agariciidae",NA,0.189,NA,NA,NA,NA,NA,NA,NA,5.2,9.3
"608","Pavona xarifae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"609","Pectinia africanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,13.8,16.6
"610","Pectinia alcicornis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8,21.2
"611","Physophyllia ayleni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,15
"612","Pectinia elongata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,11
"613","Pectinia lactuca","encrusting","common","Merulinidae","Pectiniidae","spawner",0.106,NA,NA,NA,NA,NA,NA,100,27.5,30
"614","Pectinia maxima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,7.5,15
"615","Pectinia paeonia","laminar","common","Merulinidae","Pectiniidae","spawner",0.054,NA,NA,NA,NA,NA,NA,100,30,35
"616","Pectinia pygmaeus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,4.7
"617","Pectinia teres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6.2
"618","Physogyra lichtensteini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,6,20
"619","Platygyra acuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,5.2
"620","Platygyra carnosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,3,5
"621","Platygyra contorta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,5.6
"622","Platygyra crosslandi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,5.9
"623","Platygyra daedalea","massive","common","Merulinidae","Faviidae","spawner",0.115,22,NA,NA,NA,NA,NA,NA,5.8,10
"624","Platygyra lamellina","massive","uncommon","Merulinidae","Faviidae","spawner",0.127,7.4,NA,NA,NA,NA,NA,NA,8.1,9.1
"625","Platygyra pini","massive","common","Merulinidae","Faviidae","spawner",0.094,NA,NA,NA,NA,NA,NA,NA,4.7,7.2
"626","Platygyra ryukyuensis","massive","uncommon","Merulinidae","Faviidae","spawner",0.055,NA,NA,NA,NA,NA,NA,NA,1.6,3.3
"627","Platygyra verweyi","massive","uncommon","Merulinidae","Faviidae",NA,0.03,NA,NA,NA,NA,NA,NA,NA,2.8,4.7
"628","Platygyra yaeyamaensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,5.1
"629","Plerogyra discus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,20.8
"630","Plerogyra simplex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,20
"631","Plerogyra sinuosa","massive","common","Plesiastreidae","Euphyllidae",NA,0.03,NA,NA,NA,NA,NA,NA,100,15,30
"632","Astrea devantieri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,2.5,4.5
"633","Plesiastrea versipora","massive","uncommon","Plesiastreidae","Faviidae","spawner",0.051,4.1375,NA,NA,NA,NA,NA,233.333333333333,2.9,4.6
"634","Pocillopora ankeli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,1
"635","Pocillopora capitata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4
"636","Pocillopora damicornis","branching_closed","common","Pocilloporidae","Pocilloporidae",NA,0.168,28.9644565217391,NA,NA,53.4666666666667,NA,NA,200,0.8,1
"637","Pocillopora danae",NA,NA,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA,100,0.8,1.2
"638","Pocillopora effusa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,0.6,1.1
"639","Pocillopora elegans",NA,NA,NA,NA,NA,NA,36.9,NA,NA,NA,NA,NA,NA,0.8,1
"640","Pocillopora eydouxi","branching_open","common","Pocilloporidae","Pocilloporidae","spawner",0.729,41.3666666666667,NA,NA,NA,NA,NA,100,0.8,1
"641","Pocillopora fungiformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,0.7,0.8
"642","Pocillopora indiania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,1.1,1.2
"643","Pocillopora inflata",NA,NA,NA,NA,NA,NA,31.5,NA,NA,NA,NA,NA,NA,0.7,1
"644","Pocillopora kelleheri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,1.2
"645","Pocillopora ligulata",NA,NA,NA,NA,NA,NA,14.5,NA,NA,NA,NA,NA,50,0.6,0.8
"646","Pocillopora meandrina","branching_closed","common","Pocilloporidae","Pocilloporidae","spawner",0.905,20.483,NA,NA,66.4,NA,NA,100,0.6,0.7
"647","Pocillopora molokensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,1.3
"648","Pocillopora verrucosa","branching_closed","common","Pocilloporidae","Pocilloporidae","spawner",1.506,28.9685714285714,NA,NA,129,NA,NA,50,0.3,0.7
