"","Species","X.2","X.1","X","GrowthForm_CTD","LHS_CTD","Abund_CTD","IUCNstatus","MeanPCcover","Range","ReefArea_Range","major_clade","family_molecules","family_morphology","larval","sexual","nominal.species","Lower_bound","Mean","Upper_bound","IUCN_conservation_status","Abundance_GBR","Abundance_world","Coloniality","Depth_lower","Depth_upper","Eastern-most_range_edge","Genus_fossil_age","Growth_form_typical","IUCN_Red_List_category","Life_history_strategy","Mode_of_larval_development","Northern-most_range_edge","Ocean_basin","Oocyte_size_at_maturity","Range_size","Sexual_system","Southern-most_range_edge","Species_age_phylogeny","Substrate_attachment","Water_clarity_preference","Wave_exposure_preference","Western-most_range_edge","Zooxanthellate","Polyp_fecundity","Colony_maximum_diameter","Corallite_width_maximum","Corallite_width_minimum","Growth_form_Wallace","Growth_outline_type","Growth_rate","Nitrogen_concentration","Phosphorus_concentration","Sample_identifier","Calcification_rate","Skeletal_density","Skeletal_micro-density","Symbiodinium_density","Tissue_thickness","Propagule_size_on_release","Symbiodinium_sp._in_propagules","Colony_area","Colony_shape_factor","Distance_from_crest","Polyps_per_area","Ratio_of_female_to_male_gonads","Size_at_maturity","Colony_bleached","Mitotic_index","RNA:DNA_ratio","Chlorophyll_a","Lipid_content","Total_biomass","Protein_biomass","Age_at_maturity","Eggs_per_area","Generation_time","Mesentery_fecundity","Number_of_septa_per_corallite","Dark_respiration","Gross_photosynthesis","Larval_swimming_speed","Dissolved_oxygen_concentration","Distance_from_shore","Downward_flux_of_suspended_particulate_matter","Light_extinction_coefficient","Nitrite-nitrate_concentration","Particulate_organic_matter_concentration","Phosphate_concentration","Salinity","Suspended_particulate_matter_concentration","Individual_identifier","Propagule_age","Rainfall","Sunlight","Colony_surface_area","pre_fecundity"
"142","Goniopora djiboutiensis",152,153,153,"columnar",NA,"common","LC",0.066,57172929,213416,"Complex","Poritidae","Poritidae","spawner","gonochore",NA,0.596612445983846,0.677591907835065,0.758976400433465,"Least Concern","uncommon","common","colonial","25","1.5","-175.94692667","128.4","massive","LC",NA,"spawner","33.31931629","pacific",NA,"55928762.785","hermaphrodite","-32.78342425","0.538269845676901","attached","clear","protected","31.0512331","zooxanthellate",NA,NA,"6.7","1.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Goniopora fruticosa",153,154,154,"encrusting",NA,"uncommon","LC",0.047,22979606,145600,"Complex","Poritidae","Poritidae",NA,NA,NA,0.00890500614278322,0.0100166905084058,0.0111310654947849,"Least Concern","uncommon","common","colonial","42.5","5","-169.172654965","128.4","massive","LC",NA,NA,"29.97713566","pacific",NA,"46146105.96",NA,"-29.43256532","1.78822592152004","unattached","clear","broad","30.9480274","zooxanthellate",NA,NA,"1.6","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Goniopora lobata",154,155,155,"columnar",NA,"common","NT",0.023,61049325,229509,"Complex","Poritidae","Poritidae","spawner","gonochore",NA,1.44929547005039,1.64234139416535,1.83827114437914,"Near Threatened","uncommon","common","colonial","32.5","0","-167.448406613","29.9","submassive","NT",NA,"spawner","39.11228525","pacific","306","60889646.225","hermaphrodite","-35.16725933","2.32621613735304","attached","clear","protected","24.3999287","zooxanthellate",NA,NA,"1.4","1.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Goniopora minor",155,156,156,"encrusting",NA,"common","NT",0.055,63301319,234762,"Complex","Poritidae","Poritidae","spawner","gonochore",NA,0.044869020526297,0.0508167066833027,0.0568515010448393,"Near Threatened","uncommon","common","colonial","30","1","-136.51432932","29.9","massive","NT",NA,"spawner","33.06960338","pacific",NA,"70681666.435","hermaphrodite","-35.50018509","0.925025824720286","attached","clear","protected","24.4428125","zooxanthellate",NA,NA,"2.8","5.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Goniopora norfolkensis",156,157,157,"encrusting",NA,"uncommon","LC",0.035,16670051,135963,"Complex","Poritidae","Poritidae","spawner","gonochore",NA,0.0767486089795928,0.0885502992884975,0.100132072990887,"Least Concern","common","uncommon","colonial","40","1.5","-176.37013487","29.9","columnar","LC",NA,"spawner","19.57998563","pacific","313.5","24272271.71","hermaphrodite","-33.43377511","0.925025824720286","attached","clear","protected","95.0843975","zooxanthellate",NA,NA,"4.2","3.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"328",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Goniopora somaliensis",157,158,158,"encrusting",NA,"uncommon","LC",0.101,65375590,240374,"Complex","Poritidae","Poritidae",NA,NA,NA,0.765429524331027,0.866158579208268,0.967619137967532,"Least Concern","uncommon","common","colonial","25","2","-175.32292488","29.9","branching_closed","LC",NA,NA,"28.7839916","pacific",NA,"49759283.105",NA,"-34.54782692","2.79706528358538","attached","clear","protected","33.0140361","zooxanthellate",NA,"50","4.1","2.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","Goniopora tenuidens",159,160,160,"massive",NA,"common","LC",0.028,57310318,228762,"Complex","Poritidae","Poritidae","spawner","gonochore",NA,0.313520166185586,0.354190780325752,0.395124896314312,"Least Concern","rare","common","colonial","25.25","6","-175.5917338","29.9","branching_open","VU",NA,"spawner","27.59076046","pacific",NA,"61072042.52","hermaphrodite","-32.47509077","1.82242805179278","attached","clear","exposed","32.064593","zooxanthellate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Halomitra pileus",160,161,161,"massive",NA,"common","LC",0.034,51460232,195747,"Robust","Fungiidae","Fungiidae","spawner","gonochore",NA,0.902512269445925,1.02375145752959,1.14213742705986,"Least Concern","common","common","colonial","20","0","-176.18321058","29.9","branching_open","NT",NA,"spawner","30.04437901","pacific",NA,"55433655.87","gonochore","-34.54927646","5.2655509156768","attached","clear","broad","26.4797142","zooxanthellate",NA,"333.333333333333","10","1.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Hydnophora exesa",163,164,164,"submassive","generalist","common","NT",0.106,62164542,233703,"Robust","Merulinidae","Merulinidae","spawner","hermaphrodite",NA,3.52012838285351,4.02175516766588,4.5232528050287,"Near Threatened","common","rare","colonial","20","0","131.65809292","67.06","encrusting","VU","generalist","spawner","19.80505565","pacific","261","12104736.5645","hermaphrodite","-26.82514396","0.826070593594379","attached","clear","broad","40.488013","zooxanthellate",NA,"50","9.2","1.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"810",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Hydnophora microconos",164,165,165,"massive","stress-tolerant","common","NT",0.112,71286370,239622,"Robust","Merulinidae","Merulinidae","spawner","hermaphrodite",NA,6.30074264993287,7.15944827923438,8.02155658204252,"Near Threatened","common","uncommon","colonial","20","0.75","-148.12287342","67.06","encrusting","NT","generalist","spawner","37.34697149","pacific",NA,"38658279.61","hermaphrodite","-29.1561117","0.937994220362947","attached","clear","protected","80.7515101","zooxanthellate",NA,NA,"6.3","1.9",NA,NA,"7.75",NA,NA,NA,"0.8556","1.46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Hydnophora pilosa",165,166,166,"columnar",NA,"uncommon","LC",0.152,27468424,167600,"Robust","Merulinidae","Merulinidae","spawner","hermaphrodite",NA,6.22111004507564,7.08368347271331,7.96104063807539,"Least Concern","rare","uncommon","colonial","40","1.33333333333333","-152.417611971","34.04","massive","NT",NA,"spawner","32.68174062","pacific","395","45702456.6","hermaphrodite","-32.24974232","0.979069429778058","attached","clear","broad","31.217337","zooxanthellate",NA,NA,"3.5","3.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","Hydnophora rigida",166,167,167,"branching_closed",NA,"common","LC",0.138,52904173,206824,"Robust","Merulinidae","Merulinidae","spawner","hermaphrodite",NA,9.03183695898158,10.2743812134036,11.5041948838127,"Least Concern","rare","common","colonial","23","2","-105.37550262","34.04","encrusting","LC",NA,"spawner","37.36195048","pacific",NA,"51620265.365","hermaphrodite","-32.46674453","2.1582045359218","attached","clear","broad","31.1234982","zooxanthellate",NA,NA,"4","2.3",NA,NA,"2.43239285714286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Isopora brueggemanni",167,168,168,"branching_open",NA,"common","VU",0.979,48305831,195777,"Complex","Acroporidae","Acroporidae","brooder","hermaphrodite",NA,13.2651874905461,15.1371574791941,16.9899317548251,"Vulnerable","uncommon","common","colonial","30","1","-105.26587364",NA,"encrusting","LC",NA,"spawner","37.38360558","pacific",NA,"78091560.35","gonochore","-34.75135825","2.1582045359218","attached","clear","broad","26.13741","zooxanthellate",NA,NA,"2.5","2.3","corymbose","determinate","0.8",NA,NA,NA,NA,NA,NA,"1583200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.21394736842105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Isopora palifera",170,171,171,"branching_open",NA,"common","NT",1.834,63766414,208071,"Complex","Acroporidae","Acroporidae","brooder","hermaphrodite",NA,31.4828342145428,35.7859749292755,40.0856862253719,"Near Threatened","uncommon","common","colonial","20","14.5","-134.29174034",NA,"encrusting","LC",NA,"spawner","32.22258836","pacific","482","76541855.62","gonochore","-33.22953208","3.4081864217047","attached","clear","broad","30.2131105","zooxanthellate",NA,NA,"3.2","25","corymbose","determinate",NA,"0.929819824","0.157233019307692","65.6923076923077",NA,"1.27",NA,"2230000",NA,"368",NA,"479.324985414723","6.81773413483573","37.8238764044944",NA,NA,NA,NA,NA,"2.393435479",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Leptastrea aequalis",171,172,172,"encrusting",NA,"rare","VU",0.027,12435950,80315,"Robust","Fungiidae","Faviidae",NA,NA,NA,0.000510951252607883,0.000575121957662785,0.000639789230236553,"Vulnerable",NA,"uncommon","colonial","18.3333333333333","10","157.36329697","34.04","encrusting","VU",NA,NA,"30.19845619","pacific",NA,"17704522.4",NA,"-32.92955056","1.25605198062193","attached","clear","exposed","40.7869112","zooxanthellate",NA,"100","4.4","16.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Leptastrea bewickensis",172,173,173,"encrusting",NA,"uncommon","NT",0.47,56016383,184820,"Robust","Fungiidae","Faviidae",NA,NA,NA,21.5274680307464,24.1722084627529,26.7869228362683,"Near Threatened","uncommon","common","colonial","45","33.6666666666667","-137.40442939","34.04","massive","NT",NA,NA,"34.40698997","pacific",NA,"68880590.845",NA,"-34.82339076","6.83693273123045","attached","clear","broad","31.7385635","zooxanthellate",NA,"24","6.3","14.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Leptastrea inaequalis",173,174,174,"massive",NA,"uncommon","NT",0.046,48496103,201101,"Robust","Fungiidae","Faviidae",NA,NA,NA,1.20797346285123,1.36596717004581,1.51834555793261,"Near Threatened","uncommon","common","colonial","70","18","-169.908857398","34.44","laminar","LC",NA,NA,"30.66143059","pacific",NA,"56367105.6",NA,"-33.94898938","1.89636152783038","attached","clear","protected","24.6649192","zooxanthellate",NA,NA,"3.7","1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Leptastrea pruinosa",174,175,175,"encrusting",NA,"common","LC",0.063,56239053,220620,"Robust","Fungiidae","Faviidae",NA,NA,NA,6.258856264017,7.1591166895777,8.07677771209821,"Least Concern","common","uncommon","colonial","107","14","-164.985348387","53.5175","laminar","LC",NA,NA,"29.29269049","pacific",NA,"33454961.965",NA,"-24.33193442","0.781392441638923","attached","clear","protected","69.7675733","zooxanthellate",NA,NA,"5.1","3.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Leptastrea purpurea",175,176,176,"encrusting","weedy","common","LC",0.088,85030186,246753,"Robust","Fungiidae","Faviidae","spawner","gonochore",NA,72.0492284207231,81.391025179211,90.5360311182156,"Least Concern","common","uncommon","colonial","60","13","-79.95523811","53.5175","encrusting","LC","stress-tolerant","brooder","35.71779551","pacific",NA,"76158469.52","gonochore","-32.34622853","0.822069606895387","attached","clear","protected","31.836879","zooxanthellate",NA,"500","42.5","1.8",NA,NA,"8.9",NA,NA,NA,"0.392916666666667","1.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Leptastrea transversa",176,177,177,"encrusting",NA,"common","LC",0.108,86882236,244098,"Robust","Fungiidae","Faviidae",NA,NA,NA,49.4782882680354,55.9914002727848,62.5384417000312,"Least Concern","common","common","colonial","81","1","-106.06795254","53.5175","laminar","LC",NA,NA,"36.9435931","pacific",NA,"76894817.61",NA,"-31.60429841","0.786804156053707","attached","clear","protected","31.6755898","zooxanthellate",NA,NA,"30","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Leptoria irregularis",177,178,178,"encrusting",NA,"uncommon","VU",0.01,16122416,117269,"Robust","Merulinidae","Faviidae",NA,NA,NA,0.0460123279250042,0.0520201476470987,0.0579355037027965,"Vulnerable","uncommon","uncommon","colonial","62","1","-76.01034272","53.5175","encrusting","LC",NA,NA,"36.69566116","pacific",NA,"79355940.94",NA,"-33.65463667","0.919237434258146","attached","clear","protected","25.1064483","zooxanthellate",NA,"12","26.8","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Leptoria phrygia",178,179,179,"massive","stress-tolerant","common","NT",0.269,72944525,239416,"Robust","Merulinidae","Faviidae","spawner","hermaphrodite",NA,30.6678284808155,34.9882293338409,39.328274932358,"Near Threatened","common","uncommon","colonial","20","1.5","-174.77713321","70.72","laminar","VU","weedy","spawner","37.00810877","pacific","249","42806236.105","hermaphrodite","-30.73333696","0.804436376811288","attached","clear","protected","30.3852766","zooxanthellate",NA,NA,"32.6","1",NA,NA,NA,NA,NA,NA,NA,"1.7",NA,NA,NA,"575","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Leptoseris explanata",179,180,180,"laminar",NA,"common","LC",0.023,55503666,225641,"Complex","Agariciidae","Agariciidae","spawner",NA,NA,0.325095258720743,0.369845759332156,0.41471125008719,"Least Concern","uncommon","uncommon","colonial","10","0.666666666666667","172.26823603","8.2575","encrusting","NT",NA,"spawner","36.61374795","pacific",NA,"17522567.32",NA,"-31.4979567","0.410005208185797","attached","clear","broad","94.3137995","zooxanthellate",NA,NA,"2.6","0.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Leptoseris gardineri",180,181,181,"laminar",NA,"uncommon","LC",0.02,37159696,186987,"Complex","Agariciidae","Agariciidae",NA,NA,NA,0.00493535683016241,0.00560743281799547,0.00627170698528691,"Least Concern","common","uncommon","colonial","30","3","-176.29325128","8.2575","massive","VU",NA,NA,"23.10498348","pacific",NA,"26956300.475",NA,"-30.12043817","0.35867920473279","attached","clear","broad","68.7075801","zooxanthellate",NA,"100","6.2","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Leptoseris hawaiiensis",181,182,182,"encrusting",NA,"uncommon","LC",0.043,90945145,239434,"Complex","Agariciidae","Agariciidae",NA,NA,NA,0.150414587394715,0.169302603926437,0.187913237705944,"Least Concern","common","common","colonial","36.6666666666667","2","-176.2025559","43.84","massive","LC",NA,NA,"36.64353715","pacific",NA,"46976140.13",NA,"-33.34112974","0.35867920473279","attached","clear","protected","32.0672016","zooxanthellate",NA,NA,"3.5","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Leptoseris mycetoseroides",182,183,183,"laminar",NA,"common","LC",0.03,85580112,245294,"Complex","Agariciidae","Agariciidae",NA,NA,NA,2.44836185867849,2.75855333697886,3.07003681016026,"Least Concern","common","common","colonial","30","4.5","-104.70250215","43.84","massive","LC",NA,NA,"36.10154569","pacific",NA,"65275213.22",NA,"-32.96365129","0.849120426867191","attached","clear","exposed","30.0099842","zooxanthellate",NA,"166.666666666667","0.9","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Leptoseris scabra",183,184,184,"encrusting",NA,"uncommon","LC",0.021,89827629,237739,"Complex","Agariciidae","Agariciidae",NA,NA,NA,0.399285099981353,0.454323953035394,0.509249368412555,"Least Concern","uncommon","uncommon","colonial","37.5","1","-176.24033923","43.84","massive","NT",NA,NA,"28.7200266","pacific",NA,"30604868.415",NA,"-30.84945883","0.858562626910913","attached","clear","protected","68.236729","zooxanthellate",NA,NA,"0.8","0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Leptoseris yabei",184,185,185,"laminar",NA,"uncommon","VU",0.035,45589820,210873,"Complex","Agariciidae","Agariciidae",NA,NA,NA,0.852551430084731,0.977605554809652,1.0995942902738,"Vulnerable","common","uncommon","colonial","35","1","-139.19674529","43.84","digitate","LC",NA,NA,"32.45975455","pacific",NA,"37654678.395",NA,"-26.08820926","0.609588672802197","attached","turbid","broad","41.1271344","zooxanthellate",NA,"15","1.3","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Lithophyllon undulatum",188,189,189,"encrusting",NA,"uncommon","NT",0.027,12995615,109712,"Robust","Fungiidae","Fungiidae",NA,NA,NA,0.00483369610529204,0.00542620165186471,0.00601598433331211,"Near Threatened",NA,"common","colonial","40","1","-136.61161262","43.84","laminar","LC",NA,NA,"36.87294855","pacific",NA,"62556885.535",NA,"-34.64255722","0.316264544597483","attached","clear","broad","32.0922935","zooxanthellate",NA,"100","0.1","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Lobophyllia diminuta",190,191,191,"massive",NA,"uncommon","VU",0.02,32621536,192284,"Robust","Lobophyllidae","Mussidae",NA,NA,NA,0.365122584184057,0.420124580081802,0.47740509114992,"Vulnerable","common","common","colonial","21","1","-176.49160443","43.84","laminar","LC",NA,NA,"37.38282982","pacific",NA,"45955453.445",NA,"-34.79106084","0.729374770256899","attached","clear","exposed","32.2244222","zooxanthellate",NA,NA,"1.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Lobophyllia hataii",191,192,192,"massive",NA,"common","LC",0.1,47424914,218438,"Robust","Lobophyllidae","Mussidae",NA,NA,NA,0.923559332963522,1.05281125740535,1.17964660532873,"Least Concern","uncommon","common","colonial","10","2","-125.89492226","43.84","laminar","LC",NA,NA,"38.89698222","pacific",NA,"70441827.84",NA,"-34.30604722","0.890109813261532","attached","clear","broad","25.0458378","zooxanthellate",NA,NA,"0.9","0.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Lobophyllia hemprichii",192,193,193,"massive",NA,"common","LC",0.174,70992049,237607,"Robust","Lobophyllidae","Mussidae","spawner","hermaphrodite",NA,2.30921530614642,2.62271534492398,2.93717163439793,"Least Concern","uncommon","uncommon","colonial","20","2","-173.02508391","43.84","branching_open","VU",NA,"spawner","29.19550288","pacific","341","22922212.185","hermaphrodite","-25.80088487","3.38115934779729","attached","clear","protected","93.1949485","zooxanthellate",NA,"60","1","0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"352",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Lobophyllia pachysepta",193,194,194,"massive","stress-tolerant","uncommon","NT",0.037,35535977,189077,"Robust","Lobophyllidae","Mussidae","spawner","hermaphrodite",NA,0.371908568290263,0.425168621934681,0.478575077377321,"Near Threatened","common","rare","colonial","30","0","-136.62574057","43.84","branching_closed","VU","competitive","spawner","38.15625825","pacific",NA,"36922878.185","hermaphrodite","-34.56295388","0.564443926830362","attached","clear","protected","77.1410897","zooxanthellate",NA,"100","1","0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","Madracis kirbyi",194,195,195,"digitate",NA,"uncommon","LC",0.03,37148697,183630,"Robust","Pocilloporidae","Astrocoeniidae",NA,NA,NA,0.0268548857722898,0.0303867488540181,0.0339200166951983,"Least Concern","uncommon","rare","colonial","20","1","-105.63066655","43.84","columnar","VU",NA,NA,"26.37574589","pacific",NA,"31394565.505",NA,"-30.36908194","1.81709703271188","attached","clear","exposed","33.589037","zooxanthellate",NA,"20","0.7","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
